Individual,Institution_Code,Region,Sex,Ancestry,Sub,Tribe_Clean,Lang_Class,Age,Age_Clean_yr,Age_Group,Completion_%,LUI1MD_mm,LUI1BL_mm,RUI1MD_mm,RUI1BL_mm,LUI2MD_mm,LUI2BL_mm,RUI2MD_mm,RUI2BL_mm,LUCMD_mm,LUCBL_mm,RUCMD_mm,RUCBL_mm,LUP3MD_mm,LUP3BL_mm,RUP3MD_mm,RUP3BL_mm,LUP4MD_mm,LUP4BL_mm,RUP4MD_mm,RUP4BL_mm,LUM1MD_mm,LUM1BL_mm,LUM1MBDL_mm,LUM1MLDB_mm,RUM1MD_mm,RUM1BL_mm,RUM1MBDL_mm,RUM1MLDB_mm,LUM2MD_mm,LUM2BL_mm,LUM2MBDL_mm,LUM2MLDB_mm,RUM2MD_mm,RUM2BL_mm,RUM2MBDL_mm,RUM2MLDB_mm,LLI1MD_mm,LLI1BL_mm,RLI1MD_mm,RLI1BL_mm,LLI2MD_mm,LLI2BL_mm,RLI2MD_mm,RLI2BL_mm,LLCMD_mm,LLCBL_mm,RLCMD_mm,RLCBL_mm,LLP3MD_mm,LLP3BL_mm,RLP3MD_mm,RLP3BL_mm,LLP4MD_mm,LLP4BL_mm,RLP4MD_mm,RLP4BL_mm,LLM1MD_mm,LLM1BL_mm,LLM1MBDL_mm,LLM1MLDB_mm,RLM1MD_mm,RLM1BL_mm,RLM1MBDL_mm,RLM1MLDB_mm,LLM2MD_mm,LLM2BL_mm,LLM2MBDL_mm,LLM2MLDB_mm,RLM2MD_mm,RLM2BL_mm,RLM2MBDL_mm,RLM2MLDB_mm,Bi_LCBL_mm,Bi_LCMD_mm,Bi_LI1BL_mm,Bi_LI1MD_mm,Bi_LI2BL_mm,Bi_LI2MD_mm,Bi_LM1BL_mm,Bi_LM1MBDL_mm,Bi_LM1MD_mm,Bi_LM1MLDB_mm,Bi_LM2BL_mm,Bi_LM2MBDL_mm,Bi_LM2MD_mm,Bi_LM2MLDB_mm,Bi_LP3BL_mm,Bi_LP3MD_mm,Bi_LP4BL_mm,Bi_LP4MD_mm,Bi_UCBL_mm,Bi_UCMD_mm,Bi_UI1BL_mm,Bi_UI1MD_mm,Bi_UI2BL_mm,Bi_UI2MD_mm,Bi_UM1BL_mm,Bi_UM1MBDL_mm,Bi_UM1MD_mm,Bi_UM1MLDB_mm,Bi_UM2BL_mm,Bi_UM2MBDL_mm,Bi_UM2MD_mm,Bi_UM2MLDB_mm,Bi_UP3BL_mm,Bi_UP3MD_mm,Bi_UP4BL_mm,Bi_UP4MD_mm
UP5418,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,68,68,Older_Adult,56,NA,NA,NA,NA,NA,NA,NA,NA,7.8,8.5,NA,NA,NA,NA,7.36,9.89,NA,NA,7.06,9.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.38,13.14,13.1,12.18,5.8,6.24,NA,NA,NA,NA,6.36,6.51,7.15,7.97,NA,NA,7.3,8.26,NA,NA,7.46,8.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.97,7.15,6.24,5.8,6.51,6.36,NA,NA,NA,NA,NA,NA,NA,NA,8.26,7.3,8.81,7.46,8.5,7.8,NA,NA,NA,NA,NA,NA,NA,NA,13.14,13.1,11.38,12.18,9.89,7.36,9.33,7.06
UP5408,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,76,76,Older_Adult,31,NA,NA,8.77,7.53,NA,NA,NA,6.36,NA,NA,7.17,8.37,6.02,8.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.08,10.47,10.45,9.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.37,7.17,7.53,8.77,6.36,NA,NA,NA,NA,NA,10.47,10.45,8.08,9.63,8.26,6.02,NA,NA
UP5407,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,73,73,Older_Adult,53,NA,NA,8.55,6.7,NA,NA,NA,6.08,NA,NA,7.57,8.42,6.76,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,7.41,NA,NA,6.93,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.32,10.6,11.74,11.43,NA,NA,NA,NA,10.54,10.31,11.44,11.37,7.41,6.8,NA,NA,NA,NA,10.6,11.74,11.32,11.43,10.31,11.44,10.54,11.37,8.35,6.93,NA,NA,8.42,7.57,6.7,8.55,6.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,6.76,NA,NA
UP5347,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,64,64,Older_Adult,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.65,7.72,NA,NA,6.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.68,7.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74,6.68,NA,NA,7.72,7.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.58,NA,NA
UP5373,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,65,65,Older_Adult,33,NA,NA,NA,NA,NA,NA,NA,5.72,6.82,7.3,NA,NA,NA,NA,NA,NA,NA,NA,6.07,8.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.48,NA,9.49,NA,NA,NA,NA,5.26,5.36,NA,NA,NA,NA,5.88,6.48,NA,NA,NA,NA,NA,7.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.48,5.88,NA,NA,5.36,5.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67,NA,7.3,6.82,NA,NA,5.72,NA,NA,NA,NA,NA,10.48,NA,NA,9.49,NA,NA,8.59,6.07
UP5387,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,55,55,Middle_Aged_Adult,78,NA,NA,8.64,7.16,6.5,6.57,NA,NA,7.83,8.48,NA,NA,7.01,9.6,NA,NA,NA,NA,6.8,9.91,9.99,11.2,11.78,11.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,5.76,NA,NA,6.03,6.22,NA,NA,6.86,8.41,NA,NA,7.2,7.84,NA,NA,7.5,9.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.05,10.23,11.48,11.15,NA,NA,NA,NA,8.41,6.86,5.76,5.2,6.22,6.03,NA,NA,NA,NA,10.23,11.48,11.05,11.15,7.84,7.2,9.07,7.5,8.48,7.83,7.16,8.64,6.57,6.5,11.2,11.78,9.99,11.13,NA,NA,NA,NA,9.6,7.01,9.91,6.8
UP5200,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,72,72,Older_Adult,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24,6.62,NA,NA,7.03,8.07,NA,NA,7.52,8.68,7.44,8.83,NA,NA,12.13,11.25,12.54,12.24,NA,NA,NA,NA,12.8,11.5,12.85,12.88,NA,NA,NA,NA,8.07,7.03,NA,NA,6.62,6.24,11.25,12.54,12.13,12.24,11.5,12.85,12.8,12.88,8.68,7.52,8.83,7.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP5184,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,57,57,Middle_Aged_Adult,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,6.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UP5173,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,55,55,Middle_Aged_Adult,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66,9.5,NA,NA,6.25,9.84,NA,NA,10.51,11.94,12.83,10.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.58,11.09,12.51,11.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.09,12.51,11.58,11.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.94,12.83,10.51,10.92,NA,NA,NA,NA,9.5,6.66,9.84,6.25
UP5089,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,78,78,Older_Adult,47,9.3,NA,NA,NA,7.03,6.82,NA,NA,7.4,8.28,NA,NA,7.36,9.27,NA,NA,7.04,9.4,NA,NA,NA,NA,NA,NA,11.07,11.46,12.88,11.71,NA,NA,NA,NA,10.7,12.25,12.94,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.28,7.4,NA,9.3,6.82,7.03,11.46,12.88,11.07,11.71,12.25,12.94,10.7,11.9,9.27,7.36,9.4,7.04
UP5056,Pretoria,Transvaal,F,white,white,NA,English_Afrikaans,45,45,Middle_Aged_Adult,50,NA,NA,NA,NA,5.9,6.14,NA,NA,7.98,8.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.37,9.52,11.05,12.49,10.51,NA,NA,NA,NA,8.63,9.59,10.13,8.9,NA,NA,NA,NA,NA,NA,NA,NA,5.84,6.17,NA,NA,7,7.6,NA,NA,6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,7,NA,NA,6.17,5.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88,NA,NA,8.39,7.98,NA,NA,6.14,5.9,11.05,12.49,9.52,10.51,9.59,10.13,8.63,8.9,NA,NA,9.37,NA
UP7020,Pretoria,Transvaal,M,black,black,NA,NA,44,44,Middle_Aged_Adult,100,NA,NA,9.11,7.46,7.12,6.5,NA,NA,NA,NA,7.79,6.88,6.83,9.05,NA,NA,6.58,9.42,NA,NA,10.9,12.7,13.38,12.34,NA,NA,NA,NA,10.65,12.1,13.5,11.76,NA,NA,NA,NA,4.92,6.04,NA,NA,6.09,6.37,NA,NA,7.28,7.9,NA,NA,7.14,8.23,NA,NA,7.21,8.58,NA,NA,12.36,10.96,12.63,12.4,NA,NA,NA,NA,11.76,10.86,12.73,12.37,NA,NA,NA,NA,7.9,7.28,6.04,4.92,6.37,6.09,10.96,12.63,12.36,12.4,10.86,12.73,11.76,12.37,8.23,7.14,8.58,7.21,6.88,7.79,7.46,9.11,6.5,7.12,12.7,13.38,10.9,12.34,12.1,13.5,10.65,11.76,9.05,6.83,9.42,6.58
UP7081,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,75,75,Older_Adult,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06,9.59,NA,NA,6.21,9.49,NA,NA,11.44,11.08,12.43,10.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.31,NA,6.85,NA,NA,NA,8.17,NA,NA,6.95,7.86,NA,NA,7.11,8.3,NA,NA,NA,NA,NA,NA,11.43,10.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.17,NA,6.31,NA,6.85,NA,10.14,NA,11.43,NA,NA,NA,NA,NA,7.86,6.95,8.3,7.11,NA,NA,NA,NA,NA,NA,11.08,12.43,11.44,10.52,NA,NA,NA,NA,9.59,7.06,9.49,6.21
UP7032,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,57,57,Middle_Aged_Adult,56,NA,NA,NA,NA,NA,NA,NA,NA,7.45,7.38,NA,NA,7.18,9.15,NA,NA,6.91,9.38,NA,NA,10.63,11.19,12.21,11.07,NA,NA,NA,NA,10.11,11.15,12.18,11.01,NA,NA,NA,NA,NA,6.07,NA,NA,NA,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,8.01,10.88,10.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.07,NA,6.55,NA,10.45,NA,10.88,NA,NA,NA,NA,NA,NA,NA,8.01,7.2,7.38,7.45,NA,NA,NA,NA,11.19,12.21,10.63,11.07,11.15,12.18,10.11,11.01,9.15,7.18,9.38,6.91
UP7018,Pretoria,Transvaal,M,white,white,NA,English_Afrikaans,80,80,Older_Adult,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.74,7.98,7.02,8.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,11.28,11.43,10.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54,NA,NA,NA,7.59,NA,NA,6.96,6.99,NA,NA,7.32,8.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.82,10.2,11.13,11.26,NA,NA,NA,NA,7.59,NA,NA,NA,6.54,NA,NA,NA,NA,NA,10.2,11.13,11.82,11.26,6.99,6.96,8.01,7.32,7.98,7.74,NA,NA,NA,NA,NA,NA,NA,NA,11.28,11.43,9.85,10.66,8.89,7.02,NA,NA
UP7055,Pretoria,Transvaal,M,black,black,NA,NA,49,49,Middle_Aged_Adult,94,NA,NA,9.01,7.22,7.12,6.34,NA,NA,7.71,8.38,NA,NA,6.42,8.71,NA,NA,5.81,8.84,NA,NA,9.98,11.28,11.57,10.92,NA,NA,NA,NA,9.16,11.44,11.72,10.77,NA,NA,NA,NA,5.52,6.15,NA,NA,6.35,6.32,NA,NA,7.12,7.61,NA,NA,6.76,7.71,NA,NA,NA,NA,NA,NA,11.68,10.42,12.01,11.84,NA,NA,NA,NA,11.28,10.65,11.94,11.81,NA,NA,NA,NA,7.61,7.12,6.15,5.52,6.32,6.35,10.42,12.01,11.68,11.84,10.65,11.94,11.28,11.81,7.71,6.76,NA,NA,8.38,7.71,7.22,9.01,6.34,7.12,11.28,11.57,9.98,10.92,11.44,11.72,9.16,10.77,8.71,6.42,8.84,5.81
UP7031,Pretoria,Transvaal,M,black,black,NA,NA,±45,NA,Older_Adult,89,NA,NA,NA,NA,6.37,6.46,NA,NA,7.17,8.05,NA,NA,6.73,8.89,NA,NA,5.79,9.02,NA,NA,10.63,11.02,12.46,11.14,NA,NA,NA,NA,9.9,11.63,12.61,11.62,NA,NA,NA,NA,NA,5.57,NA,NA,NA,6.08,NA,NA,6.61,7.63,NA,NA,6.73,8.04,NA,NA,NA,NA,6.57,8.14,NA,NA,NA,NA,10.67,10.37,11.72,11.31,11.51,10.68,12.06,11.85,NA,NA,NA,NA,7.63,6.61,5.57,NA,6.08,NA,10.37,11.72,10.67,11.31,10.68,12.06,11.51,11.85,8.04,6.73,8.14,6.57,8.05,7.17,NA,NA,6.46,6.37,11.02,12.46,10.63,11.14,11.63,12.61,9.9,11.62,8.89,6.73,9.02,5.79
