Individual,Institution_Code,Region,Sex,Ancestry,Sub,Tribe_Clean,Lang_Class,Age,Age_Clean_yr,Age_Group,Completion_%,LUI1MD_mm,LUI1BL_mm,RUI1MD_mm,RUI1BL_mm,LUI2MD_mm,LUI2BL_mm,RUI2MD_mm,RUI2BL_mm,LUCMD_mm,LUCBL_mm,RUCMD_mm,RUCBL_mm,LUP3MD_mm,LUP3BL_mm,RUP3MD_mm,RUP3BL_mm,LUP4MD_mm,LUP4BL_mm,RUP4MD_mm,RUP4BL_mm,LUM1MD_mm,LUM1BL_mm,LUM1MBDL_mm,LUM1MLDB_mm,RUM1MD_mm,RUM1BL_mm,RUM1MBDL_mm,RUM1MLDB_mm,LUM2MD_mm,LUM2BL_mm,LUM2MBDL_mm,LUM2MLDB_mm,RUM2MD_mm,RUM2BL_mm,RUM2MBDL_mm,RUM2MLDB_mm,LLI1MD_mm,LLI1BL_mm,RLI1MD_mm,RLI1BL_mm,LLI2MD_mm,LLI2BL_mm,RLI2MD_mm,RLI2BL_mm,LLCMD_mm,LLCBL_mm,RLCMD_mm,RLCBL_mm,LLP3MD_mm,LLP3BL_mm,RLP3MD_mm,RLP3BL_mm,LLP4MD_mm,LLP4BL_mm,RLP4MD_mm,RLP4BL_mm,LLM1MD_mm,LLM1BL_mm,LLM1MBDL_mm,LLM1MLDB_mm,RLM1MD_mm,RLM1BL_mm,RLM1MBDL_mm,RLM1MLDB_mm,LLM2MD_mm,LLM2BL_mm,LLM2MBDL_mm,LLM2MLDB_mm,RLM2MD_mm,RLM2BL_mm,RLM2MBDL_mm,RLM2MLDB_mm,Bi_LCBL_mm,Bi_LCMD_mm,Bi_LI1BL_mm,Bi_LI1MD_mm,Bi_LI2BL_mm,Bi_LI2MD_mm,Bi_LM1BL_mm,Bi_LM1MBDL_mm,Bi_LM1MD_mm,Bi_LM1MLDB_mm,Bi_LM2BL_mm,Bi_LM2MBDL_mm,Bi_LM2MD_mm,Bi_LM2MLDB_mm,Bi_LP3BL_mm,Bi_LP3MD_mm,Bi_LP4BL_mm,Bi_LP4MD_mm,Bi_UCBL_mm,Bi_UCMD_mm,Bi_UI1BL_mm,Bi_UI1MD_mm,Bi_UI2BL_mm,Bi_UI2MD_mm,Bi_UM1BL_mm,Bi_UM1MBDL_mm,Bi_UM1MD_mm,Bi_UM1MLDB_mm,Bi_UM2BL_mm,Bi_UM2MBDL_mm,Bi_UM2MD_mm,Bi_UM2MLDB_mm,Bi_UP3BL_mm,Bi_UP3MD_mm,Bi_UP4BL_mm,Bi_UP4MD_mm
AN470,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,19,19,Young_Adult,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.54,5.8,6.28,6.07,NA,NA,7.21,7.68,NA,NA,7.91,8.59,NA,NA,7.14,9.22,NA,NA,11.82,11.39,12.11,11.87,NA,NA,NA,NA,12.23,11.65,12.68,12.02,NA,NA,NA,NA,7.68,7.21,5.8,5.54,6.07,6.28,11.39,12.11,11.82,11.87,11.65,12.68,12.23,12.02,8.59,7.91,9.22,7.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN471,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,55,55,Middle_Aged_Adult,89,8.95,7.55,NA,NA,6.98,6.78,NA,NA,7.84,8.12,NA,NA,6.77,9.2,NA,NA,6.57,9,NA,NA,10.44,11,12.28,11.34,NA,NA,NA,NA,9.51,11.24,11.24,10.22,NA,NA,NA,NA,5.17,5.83,NA,NA,6.3,6.34,NA,NA,7.02,7.24,NA,NA,7.33,7.67,NA,NA,7.38,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.37,9.8,11.24,11.48,NA,NA,NA,NA,7.24,7.02,5.83,5.17,6.34,6.3,NA,NA,NA,NA,9.8,11.24,11.37,11.48,7.67,7.33,7.59,7.38,8.12,7.84,7.55,8.95,6.78,6.98,11,12.28,10.44,11.34,11.24,11.24,9.51,10.22,9.2,6.77,9,6.57
AN474,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,52,52,Middle_Aged_Adult,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.45,5.05,NA,NA,5.04,5.62,NA,NA,7.06,7.7,6.34,7.72,NA,NA,7.08,8,NA,NA,11.05,10.36,11.36,11.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,7.06,5.05,4.45,5.62,5.04,10.36,11.36,11.05,11.16,NA,NA,NA,NA,7.72,6.34,8,7.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN476,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,58,58,Middle_Aged_Adult,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.56,7.48,NA,NA,7.01,7.58,NA,NA,7.22,7.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.48,6.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.58,7.01,7.48,7.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN478,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,46,46,Middle_Aged_Adult,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.42,8.3,NA,NA,6.47,8.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,10.75,10.08,11.42,NA,NA,NA,NA,NA,NA,NA,NA,6.91,6.37,NA,NA,NA,NA,7.16,7.75,NA,NA,7.72,8.37,7.44,8.48,NA,NA,11.03,11.01,12.03,11.67,NA,NA,NA,NA,10.51,10.78,11.31,11.56,NA,NA,NA,NA,7.75,7.16,NA,NA,6.37,6.91,11.01,12.03,11.03,11.67,10.78,11.31,10.51,11.56,8.37,7.72,8.48,7.44,8.3,7.42,NA,NA,NA,NA,NA,NA,NA,NA,10.75,10.08,8.6,11.42,8.49,6.47,NA,NA
AN489,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,75,75,Older_Adult,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,10.09,11.5,11.31,NA,NA,NA,NA,5.7,5.2,NA,NA,NA,NA,10.09,11.5,11.3,11.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN516,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,59,59,Middle_Aged_Adult,64,NA,7.74,NA,NA,8.05,7.78,NA,NA,8.69,9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.37,12.51,13.41,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71,5.99,NA,NA,5.97,6.51,NA,NA,7.89,8.78,NA,NA,7.54,8.9,NA,NA,7.9,9.54,NA,NA,12.53,11.7,13.13,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.78,7.89,5.99,5.71,6.51,5.97,11.7,13.13,12.53,2.67,NA,NA,NA,NA,8.9,7.54,9.54,7.9,9.45,8.69,7.74,NA,7.78,8.05,12.51,13.41,11.37,12.4,NA,NA,NA,NA,NA,NA,NA,NA
AN518,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,33,33,Middle_Aged_Adult,61,NA,NA,8.03,6.19,NA,NA,NA,NA,7.04,8.72,NA,NA,NA,NA,6.6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.16,11.56,12.45,11.43,NA,NA,NA,NA,4.98,5.21,NA,NA,5.28,5.91,NA,NA,6.7,7.9,NA,NA,6.82,NA,NA,NA,NA,NA,7.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.58,11.13,12.39,11.64,NA,NA,NA,NA,7.9,6.7,5.21,4.98,5.91,5.28,NA,NA,NA,NA,11.13,12.39,11.58,11.64,NA,6.82,NA,7.51,8.72,7.04,6.19,8.03,NA,NA,NA,NA,NA,NA,11.56,12.45,10.16,11.43,9,6.6,NA,NA
AN521,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,36,36,Middle_Aged_Adult,36,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,8.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86,6.82,7.87,NA,NA,6.76,8.09,NA,NA,10.4,10.85,NA,NA,NA,NA,NA,NA,9.55,9.88,10.9,10.67,NA,NA,NA,NA,7.86,NA,NA,NA,NA,NA,10.85,NA,10.4,NA,9.88,10.9,9.55,10.67,7.87,6.82,8.09,6.76,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.67,NA,NA,NA
AN525,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,72,72,Older_Adult,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.77,11.87,12.59,11.95,NA,NA,NA,NA,10.83,12.02,12.35,11.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,8.05,7.15,8.25,NA,NA,7.3,9.36,NA,NA,12.49,11.27,12.7,12.58,NA,NA,NA,NA,11.82,11.16,12.44,12.59,NA,NA,NA,NA,8.05,7.18,NA,NA,NA,NA,11.27,12.7,12.49,12.58,11.16,12.44,11.82,12.59,8.25,7.15,9.36,7.3,NA,NA,NA,NA,NA,NA,11.87,12.59,10.77,11.95,12.02,12.35,10.83,11.44,NA,NA,NA,NA
AN537,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,34,34,Middle_Aged_Adult,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.69,6.57,NA,NA,7.14,8.46,NA,NA,7.12,8.37,NA,NA,7.8,9.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.46,7.14,NA,NA,6.57,5.69,NA,NA,NA,NA,NA,NA,NA,NA,8.37,7.12,9.35,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN542,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,52,52,Middle_Aged_Adult,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.48,NA,11.75,NA,NA,NA,NA,NA,NA,5.53,NA,NA,NA,6.48,NA,NA,NA,6.93,NA,NA,NA,7.36,NA,NA,NA,NA,NA,10.67,NA,NA,NA,NA,NA,NA,NA,NA,10.36,9.98,11.05,10.8,6.48,NA,NA,NA,5.53,NA,NA,NA,NA,10.67,9.98,11.05,10.36,10.8,6.93,NA,7.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.75,9.48,NA,NA,NA,NA,NA
AN569,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,45,45,Middle_Aged_Adult,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38,8.13,NA,NA,6.34,8.27,NA,NA,NA,NA,10.62,11.7,12.35,11.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22,NA,NA,NA,6.74,8.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.22,8.22,6.74,8.13,7.38,NA,NA,NA,NA,11.7,12.35,10.62,11.08,NA,NA,NA,NA,8.27,6.34,NA,NA
AN571,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,56,56,Middle_Aged_Adult,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,7.76,NA,NA,6.42,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.75,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN581,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,60,60,Middle_Aged_Adult,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43,7.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24,6.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN592,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,49,49,Middle_Aged_Adult,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,10.97,11.23,10.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.87,7.2,7.03,7.73,NA,NA,6.81,8.03,NA,NA,11.36,10.7,11.58,11.6,NA,NA,NA,NA,10.8,10.2,11.96,11.24,NA,NA,NA,NA,7.2,6.87,NA,NA,NA,NA,10.7,11.58,11.36,11.6,10.2,11.96,10.8,11.24,7.73,7.03,8.03,6.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.97,11.23,9.85,10.68,NA,NA,NA,NA
AN597,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,35,35,Middle_Aged_Adult,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.56,6.31,NA,NA,NA,NA,6.81,7.86,7.38,8.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86,6.81,NA,NA,6.31,5.56,NA,NA,NA,NA,NA,NA,NA,NA,8.37,7.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN598,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,40,40,Middle_Aged_Adult,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.68,7.8,NA,NA,6.96,NA,NA,NA,7.45,8.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,6.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.96,8.41,7.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN603,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,51,51,Middle_Aged_Adult,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.17,7.78,NA,NA,NA,7.9,NA,NA,7.07,8.25,NA,NA,11.24,10.68,11.46,11.38,NA,NA,NA,NA,10.75,10.43,11.67,11.64,NA,NA,NA,NA,7.78,7.17,NA,NA,NA,NA,10.68,11.46,11.24,11.38,10.43,11.67,10.75,11.64,7.9,NA,8.25,7.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN604,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,52,52,Middle_Aged_Adult,44,NA,NA,NA,6.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.35,5.44,NA,NA,NA,7.23,NA,NA,NA,NA,7.1,7.64,NA,NA,6.86,8.11,NA,NA,NA,NA,11.16,9.93,11.45,11.18,10.9,10.2,11.92,11.3,NA,NA,NA,NA,7.23,NA,NA,NA,5.44,5.35,9.93,11.45,11.16,11.18,10.2,11.92,10.9,11.3,7.64,7.1,8.11,6.86,NA,NA,6.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN605,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,28,28,Middle_Aged_Adult,83,NA,NA,NA,NA,NA,NA,NA,NA,8.63,8.6,NA,NA,6.59,8.54,NA,NA,6.61,8.97,NA,NA,10.8,12.12,12.71,11.21,NA,NA,NA,NA,9.51,11.8,13.27,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.71,5.96,NA,NA,7.36,8,6.77,7.78,NA,NA,7.04,8.26,NA,NA,11,10.26,11.95,11.11,NA,NA,NA,NA,10.82,11.25,12.07,11.2,NA,NA,NA,NA,8,7.36,NA,NA,5.96,6.71,10.26,11.95,11,11.11,11.25,12.07,10.82,11.2,7.78,6.77,8.26,7.04,8.6,8.63,NA,NA,NA,NA,12.12,12.71,10.8,11.21,11.8,13.27,9.51,11.1,8.54,6.59,8.97,6.61
AN608,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,66,66,Older_Adult,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.34,8.96,NA,NA,7.91,8.8,NA,NA,NA,8.77,NA,NA,NA,NA,11.53,10.95,12.07,12.21,NA,NA,NA,NA,11.55,9.94,11.6,10.95,8.96,8.34,NA,NA,NA,NA,10.95,12.07,11.53,12.21,9.94,11.6,11.55,10.95,8.8,7.91,8.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN611,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,67,67,Older_Adult,97,NA,7.89,NA,NA,NA,NA,7.43,7.3,8.6,9.13,NA,NA,7.2,9.45,NA,NA,6.88,9.29,NA,NA,11.43,11.72,12.74,11.98,NA,NA,NA,NA,10.24,12.03,13.03,11.24,NA,NA,NA,NA,NA,NA,5.52,6.24,NA,NA,6.27,6.38,7.31,7.87,NA,NA,7.78,8.8,NA,NA,6.23,8.77,NA,NA,11.99,11.3,12.12,12.44,NA,NA,NA,NA,11.63,11.1,12.06,12.15,NA,NA,NA,NA,7.87,7.31,6.24,5.52,6.38,6.27,11.3,12.12,11.99,12.44,11.1,12.06,11.63,12.15,8.8,7.78,8.77,6.23,9.13,8.6,7.89,NA,7.3,7.43,11.72,12.74,11.43,11.98,12.03,13.03,10.24,11.24,9.45,7.2,9.29,6.88
AN622,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,42,42,Middle_Aged_Adult,50,NA,NA,NA,NA,NA,NA,NA,NA,7.73,9.09,NA,NA,7.21,9.89,NA,NA,7.37,10.38,NA,NA,10.59,11.74,12.67,11.07,NA,NA,NA,NA,9.74,12.57,12.94,11.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.13,8.36,NA,NA,6.98,9.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.36,7.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.23,6.98,NA,NA,9.09,7.73,NA,NA,NA,NA,11.74,12.67,10.59,11.07,12.57,12.94,9.74,11.01,9.89,7.21,10.38,7.37
AN633,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,45,45,Middle_Aged_Adult,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,5.24,NA,7.5,NA,NA,NA,NA,6.49,7.97,NA,NA,7.09,7.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,5.24,6.1,NA,NA,NA,NA,NA,NA,NA,NA,7.97,6.49,7.41,7.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN641,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,43,43,Middle_Aged_Adult,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.22,11.62,12.56,12.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.62,12.56,12.22,12.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN649,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,55,55,Middle_Aged_Adult,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76,NA,NA,NA,6.35,NA,NA,NA,NA,NA,6.95,8.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.35,NA,NA,NA,5.76,NA,NA,NA,NA,NA,NA,NA,NA,8.11,6.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN653,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,67,67,Older_Adult,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.54,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN670,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,58,58,Middle_Aged_Adult,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,NA,11.63,13.13,11.6,NA,NA,NA,NA,9.86,11.5,11.7,11.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.65,10.47,11.54,11.63,NA,NA,NA,NA,7.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.47,11.54,10.65,11.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.63,13.13,NA,11.6,11.5,11.7,9.86,11.48,NA,NA,8.9,NA
AN675,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,56,56,Middle_Aged_Adult,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.47,8.71,NA,NA,7.79,8.79,7.69,8.9,NA,NA,11.96,12.03,13.02,11.71,NA,NA,NA,NA,12.51,11.83,13.08,12.53,NA,NA,NA,NA,8.71,7.47,NA,NA,NA,NA,12.03,13.02,11.96,11.71,11.83,13.08,12.51,12.53,8.79,7.79,8.9,7.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN682,Stellenbosch,Cape,M,coloured,coloured,NA,Afrikaans,76,76,Older_Adult,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.86,8.57,NA,NA,NA,9.36,NA,NA,10.09,11.37,12.79,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,5.46,NA,NA,NA,7.6,NA,NA,6.79,7.99,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,NA,5.46,5.4,NA,NA,NA,NA,NA,NA,NA,NA,7.99,6.79,7.7,NA,NA,NA,NA,NA,NA,NA,11.37,12.79,10.09,12.2,NA,NA,NA,NA,8.57,6.86,9.36,NA
